Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 0 	| explore_rate: 1.0 	| return: 9.953
episode: 10 	| explore_rate: 1.0 	| return: 8.385
episode: 20 	| explore_rate: 1.0 	| return: 13.023
episode: 30 	| explore_rate: 1.0 	| return: 11.976
episode: 40 	| explore_rate: 1.0 	| return: 11.592
episode: 50 	| explore_rate: 1.0 	| return: 9.993
episode: 60 	| explore_rate: 1.0 	| return: 8.014
episode: 70 	| explore_rate: 1.0 	| return: 0.0
episode: 80 	| explore_rate: 1.0 	| return: 10.081
episode: 90 	| explore_rate: 1.0 	| return: 0.0
episode: 100 	| explore_rate: 1.0 	| return: 0.0
episode: 110 	| explore_rate: 1.0 	| return: 8.939
episode: 120 	| explore_rate: 1.0 	| return: 9.183
episode: 130 	| explore_rate: 1.0 	| return: 8.3
episode: 140 	| explore_rate: 1.0 	| return: 6.64
episode: 150 	| explore_rate: 1.0 	| return: 11.653
episode: 160 	| explore_rate: 1.0 	| return: 6.432
episode: 170 	| explore_rate: 1.0 	| return: 14.702
episode: 180 	| explore_rate: 1.0 	| return: 11.499
episode: 190 	| explore_rate: 1.0 	| return: 0.0
episode: 200 	| explore_rate: 1.0 	| return: 7.239
episode: 210 	| explore_rate: 1.0 	| return: 12.947
episode: 220 	| explore_rate: 1.0 	| return: 6.746
episode: 230 	| explore_rate: 1.0 	| return: 0.0
episode: 240 	| explore_rate: 1.0 	| return: 10.353
episode: 250 	| explore_rate: 1.0 	| return: 9.081
episode: 260 	| explore_rate: 1.0 	| return: 8.775
episode: 270 	| explore_rate: 1.0 	| return: 11.452
episode: 280 	| explore_rate: 1.0 	| return: 10.846
episode: 290 	| explore_rate: 1.0 	| return: 0.0
episode: 300 	| explore_rate: 0.999 	| return: 10.409
episode: 310 	| explore_rate: 0.984 	| return: 0.0
episode: 320 	| explore_rate: 0.971 	| return: 9.611
episode: 330 	| explore_rate: 0.957 	| return: 11.191
episode: 340 	| explore_rate: 0.944 	| return: 9.327
episode: 350 	| explore_rate: 0.932 	| return: 0.0
episode: 360 	| explore_rate: 0.92 	| return: 9.123
episode: 370 	| explore_rate: 0.908 	| return: 6.627
episode: 380 	| explore_rate: 0.896 	| return: 0.0
episode: 390 	| explore_rate: 0.885 	| return: 17.621
episode: 400 	| explore_rate: 0.874 	| return: 12.321
episode: 410 	| explore_rate: 0.863 	| return: 14.658
episode: 420 	| explore_rate: 0.853 	| return: 0.0
episode: 430 	| explore_rate: 0.843 	| return: 12.532
episode: 440 	| explore_rate: 0.833 	| return: 14.176
episode: 450 	| explore_rate: 0.823 	| return: 13.945
episode: 460 	| explore_rate: 0.813 	| return: 0.0
episode: 470 	| explore_rate: 0.804 	| return: 11.447
episode: 480 	| explore_rate: 0.795 	| return: 0.0
episode: 490 	| explore_rate: 0.786 	| return: 0.0
episode: 500 	| explore_rate: 0.777 	| return: 15.348
episode: 510 	| explore_rate: 0.769 	| return: 13.953
episode: 520 	| explore_rate: 0.76 	| return: 0.0
episode: 530 	| explore_rate: 0.752 	| return: 8.844
episode: 540 	| explore_rate: 0.744 	| return: 0.0
episode: 550 	| explore_rate: 0.736 	| return: 10.484
episode: 560 	| explore_rate: 0.728 	| return: 14.675
episode: 570 	| explore_rate: 0.72 	| return: 16.294
episode: 580 	| explore_rate: 0.713 	| return: 0.0
episode: 590 	| explore_rate: 0.706 	| return: 12.563
episode: 600 	| explore_rate: 0.698 	| return: 12.87
episode: 610 	| explore_rate: 0.691 	| return: 10.432
episode: 620 	| explore_rate: 0.684 	| return: 0.0
episode: 630 	| explore_rate: 0.677 	| return: 14.596
episode: 640 	| explore_rate: 0.67 	| return: 16.074
episode: 650 	| explore_rate: 0.664 	| return: 12.354
episode: 660 	| explore_rate: 0.657 	| return: 15.922
episode: 670 	| explore_rate: 0.65 	| return: 15.482
episode: 680 	| explore_rate: 0.644 	| return: 14.376
episode: 690 	| explore_rate: 0.638 	| return: 15.45
episode: 700 	| explore_rate: 0.631 	| return: 13.688
episode: 710 	| explore_rate: 0.625 	| return: 14.459
episode: 720 	| explore_rate: 0.619 	| return: 11.99
episode: 730 	| explore_rate: 0.613 	| return: 15.358
episode: 740 	| explore_rate: 0.607 	| return: 13.258
episode: 750 	| explore_rate: 0.601 	| return: 14.826
