episode	explore_rate	e_return	t5p_first	tTiny_first	total_drug_in
0	1.0	10.464526268120862	1923.2635789110318	N/A	1206.0
1	1.0	6.709060297736912	1871.1434027792484	N/A	954.0
2	1.0	10.038284291785416	3687.9520583240524	N/A	1296.0
3	1.0	11.340910428007913	1318.082715806628	N/A	1314.0
4	1.0	0.0	N/A	N/A	0.0
5	1.0	15.33431607976771	927.7507863874531	2901.3498031171794	1449.0
6	1.0	5.294779827716246	N/A	N/A	981.0
7	1.0	0.0	N/A	N/A	0.0
8	1.0	9.835944650049264	6266.903666084846	N/A	1233.0
9	1.0	12.475516893857131	1987.2660288155255	N/A	1350.0
10	1.0	8.957249677954938	6171.497703445742	6899.547696555077	1314.0
11	1.0	0.0	N/A	N/A	0.0
12	1.0	5.440564330479366	6670.770894280689	N/A	909.0
13	1.0	11.174468806322967	1566.9945383106717	N/A	1278.0
14	1.0	12.28919650482886	888.9367841068056	7158.5300868946115	1449.0
15	1.0	0.0	N/A	N/A	0.0
16	1.0	12.270938937528168	3541.318468662193	N/A	1359.0
17	1.0	7.804620087509054	1276.9325710502656	N/A	1107.0
18	1.0	13.342025787462916	927.7507863874531	N/A	1413.0
19	1.0	7.225117055523948	4792.538176951376	N/A	1089.0
20	1.0	0.0	N/A	N/A	0.0
21	1.0	0.0	N/A	N/A	0.0
22	1.0	8.828256168549606	1564.083035464121	N/A	1179.0
23	1.0	13.698873778394328	604.2944531042266	3775.966693212659	1422.0
24	1.0	8.839205665724442	6271.232932378787	N/A	1188.0
25	1.0	4.484121614128467	N/A	N/A	801.0
26	1.0	8.139598235135182	4601.747073156325	N/A	1098.0
27	1.0	13.70585352849397	604.2944531042266	N/A	1422.0
28	1.0	0.0	N/A	N/A	0.0
29	1.0	8.496323912123623	1300.5266960171841	N/A	1116.0
30	1.0	12.226613635064883	1254.4957778613264	N/A	1359.0
31	1.0	12.089829877376696	896.3132226256665	N/A	1305.0
32	1.0	6.897193248037562	3686.67235793177	N/A	981.0
33	1.0	7.62460879589177	854.600097745427	N/A	1026.0
34	1.0	0.0	N/A	N/A	0.0
35	1.0	8.680507285886748	1510.0183393254697	N/A	1143.0
36	1.0	7.710000811122436	1595.666053388749	N/A	1053.0
37	1.0	0.0	N/A	N/A	0.0
38	1.0	0.0	N/A	N/A	0.0
39	1.0	0.0	N/A	N/A	0.0
40	1.0	0.0	N/A	N/A	0.0
41	1.0	13.516964803163551	940.0286289822224	4975.272503276058	1386.0
42	1.0	6.553727494797216	N/A	N/A	1044.0
43	1.0	8.452538324628916	N/A	N/A	1134.0
44	1.0	10.806322708757476	1969.6981815542838	N/A	1296.0
45	1.0	0.0	N/A	N/A	0.0
46	1.0	8.033767928375939	5108.127432135114	N/A	1098.0
47	1.0	10.69084426127437	1300.5266960171841	N/A	1206.0
48	1.0	7.83647037909357	832.3789776547583	N/A	1116.0
49	1.0	14.551250392812575	604.2944531042266	N/A	1548.0
50	1.0	0.0	N/A	N/A	0.0
51	1.0	8.032394124078305	1694.7505628008898	N/A	1161.0
52	1.0	0.0	N/A	N/A	0.0
53	1.0	12.288581876338732	1352.3201180294973	N/A	1368.0
54	1.0	0.0	N/A	N/A	0.0
55	1.0	0.0	N/A	N/A	0.0
56	1.0	5.697345667311008	6695.58384275702	N/A	1044.0
57	1.0	8.740960722639828	2022.3208891315674	N/A	1080.0
58	1.0	12.310227838714203	2020.6255139380526	N/A	1386.0
59	1.0	11.23983530099657	3849.8012394307257	4605.541402561088	1242.0
60	1.0	11.733889006330141	1254.4957778613264	6500.839042299724	1440.0
61	1.0	9.980350830757171	940.0286289822224	N/A	1251.0
62	1.0	13.043595820079146	972.8746348810868	N/A	1377.0
63	1.0	6.7121066739919835	1621.1894560481069	N/A	1008.0
64	1.0	0.0	N/A	N/A	0.0
65	1.0	6.944943348326101	1741.4981781975512	N/A	1035.0
66	1.0	7.646350522144509	6695.947451999021	N/A	1143.0
67	1.0	0.0	N/A	N/A	0.0
68	1.0	9.497335078390142	2742.4824801919176	N/A	1206.0
69	1.0	12.568588470870345	919.2945539428093	N/A	1341.0
70	1.0	11.039765570436447	2663.5695261158253	N/A	1215.0
71	1.0	12.63502825758685	2677.6163617043726	3899.0970297773583	1413.0
72	1.0	11.855346410861141	3777.235701719375	5193.619086238646	1413.0
73	1.0	9.905673874876818	3335.373083990725	N/A	1233.0
74	1.0	5.846614988156469	6307.711524738102	7074.225219965228	1026.0
75	1.0	8.883619921972734	4190.1451679837755	4936.249364840823	1143.0
76	1.0	10.076829989476643	2357.4342659976223	3416.49190650661	1215.0
77	1.0	6.298282818615679	5555.053868936324	6596.280846924227	1035.0
78	1.0	0.0	N/A	N/A	0.0
79	1.0	0.0	N/A	N/A	0.0
80	1.0	0.0	N/A	N/A	0.0
81	1.0	0.0	N/A	N/A	0.0
82	1.0	9.718480417694094	4510.965121224789	N/A	1197.0
83	1.0	9.123014448634986	2987.4618322764636	N/A	1170.0
84	1.0	5.404194057540535	7021.30505076866	N/A	936.0
85	1.0	7.578145138239058	604.2944531042266	N/A	1125.0
86	1.0	16.15403224774984	604.2944531042266	5123.794207713547	1629.0
87	1.0	9.247880386985615	2363.5643034419445	N/A	1206.0
88	1.0	5.553567314708876	3849.169865625212	N/A	918.0
89	1.0	9.706356144792553	2673.5484995805778	N/A	1224.0
90	1.0	9.777516631848181	4507.232672967968	N/A	1269.0
91	1.0	12.271853187346817	1291.3801180926778	3817.8358085416403	1350.0
92	1.0	0.0	N/A	N/A	0.0
93	1.0	8.311775573667129	4911.973898575982	N/A	1170.0
94	1.0	13.12113507942367	1343.054004943386	N/A	1377.0
95	1.0	0.0	N/A	N/A	0.0
96	1.0	6.120226329636145	1230.4833287893032	N/A	981.0
