Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 0 	| explore_rate: 1.0 	| return: 9.262
episode: 10 	| explore_rate: 1.0 	| return: 11.364
episode: 20 	| explore_rate: 1.0 	| return: 11.123
episode: 30 	| explore_rate: 1.0 	| return: 9.724
episode: 40 	| explore_rate: 1.0 	| return: 9.243
episode: 50 	| explore_rate: 1.0 	| return: 8.941
episode: 60 	| explore_rate: 1.0 	| return: 13.603
episode: 70 	| explore_rate: 1.0 	| return: 0.0
episode: 80 	| explore_rate: 1.0 	| return: 10.076
episode: 90 	| explore_rate: 1.0 	| return: 0.0
episode: 100 	| explore_rate: 1.0 	| return: 10.978
episode: 110 	| explore_rate: 1.0 	| return: 0.0
episode: 120 	| explore_rate: 1.0 	| return: 10.477
episode: 130 	| explore_rate: 1.0 	| return: 9.258
episode: 140 	| explore_rate: 1.0 	| return: 8.13
episode: 150 	| explore_rate: 1.0 	| return: 13.414
episode: 160 	| explore_rate: 1.0 	| return: 10.266
episode: 170 	| explore_rate: 1.0 	| return: 11.827
episode: 180 	| explore_rate: 1.0 	| return: 7.933
episode: 190 	| explore_rate: 1.0 	| return: 11.632
episode: 200 	| explore_rate: 1.0 	| return: 8.896
episode: 210 	| explore_rate: 1.0 	| return: 9.177
episode: 220 	| explore_rate: 1.0 	| return: 0.0
episode: 230 	| explore_rate: 1.0 	| return: 7.16
episode: 240 	| explore_rate: 1.0 	| return: 0.0
episode: 250 	| explore_rate: 1.0 	| return: 12.516
episode: 260 	| explore_rate: 1.0 	| return: 14.343
episode: 270 	| explore_rate: 1.0 	| return: 8.898
episode: 280 	| explore_rate: 1.0 	| return: 9.455
episode: 290 	| explore_rate: 1.0 	| return: 0.0
episode: 300 	| explore_rate: 0.999 	| return: 9.757
episode: 310 	| explore_rate: 0.984 	| return: 0.0
episode: 320 	| explore_rate: 0.971 	| return: 10.702
episode: 330 	| explore_rate: 0.957 	| return: 0.0
episode: 340 	| explore_rate: 0.944 	| return: 9.067
episode: 350 	| explore_rate: 0.932 	| return: 6.699
episode: 360 	| explore_rate: 0.92 	| return: 9.018
episode: 370 	| explore_rate: 0.908 	| return: 10.502
episode: 380 	| explore_rate: 0.896 	| return: 0.0
episode: 390 	| explore_rate: 0.885 	| return: 0.0
