episode	explore_rate	e_return	t5p_first	tTiny_first	total_drug_in
0	1.0	0.0	N/A	N/A	0.0
1	1.0	4.714775603528009	N/A	N/A	1089.0
2	1.0	8.03330006485092	912.2902809515153	N/A	1368.0
3	1.0	5.965984219806382	3091.540927272981	N/A	1107.0
4	1.0	0.0	N/A	N/A	0.0
5	1.0	10.435604999989915	4156.9502755280655	N/A	1548.0
6	1.0	5.628273776088406	N/A	N/A	1188.0
7	1.0	7.845625053508044	2732.8890603700793	N/A	1350.0
8	1.0	7.4456757435562375	2407.7682738256312	N/A	1332.0
9	1.0	0.0	N/A	N/A	0.0
10	1.0	0.9252026001896926	N/A	N/A	738.0
11	1.0	5.128031307868763	N/A	N/A	1071.0
12	1.0	8.7442043916533	3140.7087986902	N/A	1431.0
13	1.0	3.8737965345013476	N/A	N/A	1008.0
14	1.0	5.564149447956124	N/A	N/A	1170.0
15	1.0	6.892306400876166	N/A	N/A	1305.0
16	1.0	5.8646786916165174	N/A	N/A	1152.0
17	1.0	8.29457866196903	N/A	N/A	1359.0
18	1.0	6.209501858295317	955.5281468092766	N/A	1242.0
19	1.0	4.336707767083376	N/A	N/A	1017.0
20	1.0	5.781607421238199	N/A	N/A	1134.0
21	1.0	4.428560627779893	1596.6914249312933	N/A	1017.0
22	1.0	6.112200179771651	6944.215003971976	N/A	1215.0
23	1.0	5.782659961031373	N/A	N/A	1152.0
24	1.0	0.0	N/A	N/A	0.0
25	1.0	8.615230031620884	1669.034519466092	N/A	1395.0
26	1.0	4.74665774990586	N/A	N/A	1071.0
27	1.0	4.65586798078025	N/A	N/A	1053.0
28	1.0	5.4739608500669785	N/A	N/A	1134.0
29	1.0	6.923948316572069	4934.380385168272	N/A	1305.0
30	1.0	6.457284206591682	5561.241840654646	N/A	1242.0
31	1.0	5.59547661816746	6712.7682645701525	N/A	1116.0
32	1.0	4.313331316567021	N/A	N/A	954.0
33	1.0	5.603026234100875	4913.471646404892	N/A	1161.0
34	1.0	4.67906052360104	N/A	N/A	1089.0
35	1.0	9.6927923502927	912.2902809515153	N/A	1440.0
36	1.0	8.542506450334319	4917.475238009927	N/A	1377.0
37	1.0	6.3644109405437375	2084.9486323882784	N/A	1242.0
38	1.0	6.706353414037389	N/A	N/A	1260.0
39	1.0	2.620237580126873	N/A	N/A	846.0
40	1.0	8.145635400280845	7048.91859727634	N/A	1440.0
41	1.0	7.459185499846498	2794.3800150128236	N/A	1341.0
42	1.0	8.077998817531915	912.2902809515153	N/A	1323.0
43	1.0	9.838215750203272	2808.31075951498	N/A	1512.0
44	1.0	2.9020187309063665	N/A	N/A	909.0
45	1.0	9.133095489673233	4464.48294698637	N/A	1476.0
46	1.0	0.0	N/A	N/A	0.0
47	1.0	6.298413100630059	N/A	N/A	1206.0
48	1.0	4.64602787560467	N/A	N/A	1089.0
49	1.0	3.5973686854831404	N/A	N/A	990.0
50	1.0	6.463864393286551	3876.6695871027423	N/A	1251.0
51	1.0	3.5467776753232902	N/A	N/A	945.0
52	1.0	6.050790700053687	N/A	N/A	1242.0
53	1.0	6.453037045414713	N/A	N/A	1125.0
