Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 1500 episodes ...

episode: 0 	| explore_rate: 1.0 	| return: 16.389
episode: 10 	| explore_rate: 1.0 	| return: 0.0
episode: 20 	| explore_rate: 1.0 	| return: 10.052
episode: 30 	| explore_rate: 1.0 	| return: 13.475
episode: 40 	| explore_rate: 1.0 	| return: 11.439
episode: 50 	| explore_rate: 1.0 	| return: 0.0
episode: 60 	| explore_rate: 1.0 	| return: 8.135
episode: 70 	| explore_rate: 1.0 	| return: 7.864
episode: 80 	| explore_rate: 1.0 	| return: 16.773
episode: 90 	| explore_rate: 1.0 	| return: 8.472
episode: 100 	| explore_rate: 1.0 	| return: 9.066
episode: 110 	| explore_rate: 1.0 	| return: 0.0
episode: 120 	| explore_rate: 1.0 	| return: 10.759
episode: 130 	| explore_rate: 1.0 	| return: 0.0
episode: 140 	| explore_rate: 1.0 	| return: 13.921
episode: 150 	| explore_rate: 0.997 	| return: 8.613
episode: 160 	| explore_rate: 0.969 	| return: 8.663
episode: 170 	| explore_rate: 0.943 	| return: 11.865
episode: 180 	| explore_rate: 0.918 	| return: 11.056
episode: 190 	| explore_rate: 0.895 	| return: 9.715
episode: 200 	| explore_rate: 0.873 	| return: 0.0
episode: 210 	| explore_rate: 0.852 	| return: 10.733
episode: 220 	| explore_rate: 0.832 	| return: 13.905
episode: 230 	| explore_rate: 0.812 	| return: 13.431
episode: 240 	| explore_rate: 0.794 	| return: 13.705
episode: 250 	| explore_rate: 0.776 	| return: 17.492
episode: 260 	| explore_rate: 0.759 	| return: 15.806
episode: 270 	| explore_rate: 0.743 	| return: 0.0
episode: 280 	| explore_rate: 0.727 	| return: 14.057
episode: 290 	| explore_rate: 0.712 	| return: 12.624
episode: 300 	| explore_rate: 0.698 	| return: 13.787
episode: 310 	| explore_rate: 0.683 	| return: 16.854
episode: 320 	| explore_rate: 0.67 	| return: 13.801
episode: 330 	| explore_rate: 0.656 	| return: 15.145
episode: 340 	| explore_rate: 0.643 	| return: 13.842
episode: 350 	| explore_rate: 0.631 	| return: 16.506
episode: 360 	| explore_rate: 0.619 	| return: 15.603
episode: 370 	| explore_rate: 0.607 	| return: 14.292
episode: 380 	| explore_rate: 0.595 	| return: 15.323
episode: 390 	| explore_rate: 0.584 	| return: 16.246
episode: 400 	| explore_rate: 0.573 	| return: 14.143
episode: 410 	| explore_rate: 0.562 	| return: 9.642
episode: 420 	| explore_rate: 0.552 	| return: 16.309
episode: 430 	| explore_rate: 0.542 	| return: 12.206
episode: 440 	| explore_rate: 0.532 	| return: 16.69
episode: 450 	| explore_rate: 0.522 	| return: 0.0
episode: 460 	| explore_rate: 0.512 	| return: 9.34
episode: 470 	| explore_rate: 0.503 	| return: 0.0
episode: 480 	| explore_rate: 0.494 	| return: 17.88
episode: 490 	| explore_rate: 0.485 	| return: 17.23
episode: 500 	| explore_rate: 0.476 	| return: 17.755
episode: 510 	| explore_rate: 0.468 	| return: 13.958
episode: 520 	| explore_rate: 0.459 	| return: 17.293
episode: 530 	| explore_rate: 0.451 	| return: 14.81
episode: 540 	| explore_rate: 0.443 	| return: 13.063
episode: 550 	| explore_rate: 0.435 	| return: 17.663
episode: 560 	| explore_rate: 0.427 	| return: 14.303
episode: 570 	| explore_rate: 0.419 	| return: 12.076
episode: 580 	| explore_rate: 0.412 	| return: 0.0
episode: 590 	| explore_rate: 0.405 	| return: 17.73
episode: 600 	| explore_rate: 0.397 	| return: 17.939
episode: 610 	| explore_rate: 0.39 	| return: 17.209
episode: 620 	| explore_rate: 0.383 	| return: 17.88
episode: 630 	| explore_rate: 0.376 	| return: 16.048
episode: 640 	| explore_rate: 0.369 	| return: 17.713
episode: 650 	| explore_rate: 0.363 	| return: 15.34
episode: 660 	| explore_rate: 0.356 	| return: 17.275
episode: 670 	| explore_rate: 0.349 	| return: 17.963
episode: 680 	| explore_rate: 0.343 	| return: 18.53
episode: 690 	| explore_rate: 0.337 	| return: 14.548
episode: 700 	| explore_rate: 0.33 	| return: 17.309
episode: 710 	| explore_rate: 0.324 	| return: 17.694
episode: 720 	| explore_rate: 0.318 	| return: 0.0
episode: 730 	| explore_rate: 0.312 	| return: 17.755
episode: 740 	| explore_rate: 0.306 	| return: 17.963
episode: 750 	| explore_rate: 0.3 	| return: 15.691
episode: 760 	| explore_rate: 0.295 	| return: 17.943
episode: 770 	| explore_rate: 0.289 	| return: 18.132
episode: 780 	| explore_rate: 0.283 	| return: 18.246
episode: 790 	| explore_rate: 0.278 	| return: 0.0
episode: 800 	| explore_rate: 0.272 	| return: 17.523
episode: 810 	| explore_rate: 0.267 	| return: 17.807
episode: 820 	| explore_rate: 0.262 	| return: 18.226
episode: 830 	| explore_rate: 0.256 	| return: 16.45
episode: 840 	| explore_rate: 0.251 	| return: 18.196
episode: 850 	| explore_rate: 0.246 	| return: 18.646
episode: 860 	| explore_rate: 0.241 	| return: 18.361
episode: 870 	| explore_rate: 0.236 	| return: 0.0
episode: 880 	| explore_rate: 0.231 	| return: 16.642
episode: 890 	| explore_rate: 0.226 	| return: 16.15
episode: 900 	| explore_rate: 0.221 	| return: 17.815
episode: 910 	| explore_rate: 0.217 	| return: 17.076
episode: 920 	| explore_rate: 0.212 	| return: 18.13
episode: 930 	| explore_rate: 0.207 	| return: 18.646
episode: 940 	| explore_rate: 0.203 	| return: 18.246
episode: 950 	| explore_rate: 0.198 	| return: 18.246
episode: 960 	| explore_rate: 0.193 	| return: 17.863
episode: 970 	| explore_rate: 0.189 	| return: 18.563
episode: 980 	| explore_rate: 0.184 	| return: 18.196
episode: 990 	| explore_rate: 0.18 	| return: 17.452
episode: 1000 	| explore_rate: 0.176 	| return: 18.446
episode: 1010 	| explore_rate: 0.171 	| return: 18.046
episode: 1020 	| explore_rate: 0.167 	| return: 17.963
episode: 1030 	| explore_rate: 0.163 	| return: 18.68
episode: 1040 	| explore_rate: 0.159 	| return: 18.163
episode: 1050 	| explore_rate: 0.154 	| return: 17.216
