episode	explore_rate	e_return	t5p_first	tTiny_first	total_drug_in
0	1.0	16.3892871078512	929.2580436251384	2755.126615934662	1449.0
1	1.0	11.712846045998035	3162.3097668321343	N/A	1332.0
2	1.0	0.0	N/A	N/A	0.0
3	1.0	0.0	N/A	N/A	0.0
4	1.0	0.0	N/A	N/A	0.0
5	1.0	8.860081360895448	3416.0165946853126	N/A	1206.0
6	1.0	13.09004113692567	614.3890182726907	3759.5981490627332	1422.0
7	1.0	10.54601875344225	1378.3448837498331	N/A	1251.0
8	1.0	10.085417052343569	1979.7522158495142	N/A	1260.0
9	1.0	7.79201869573526	3436.1359021365947	N/A	1035.0
10	1.0	0.0	N/A	N/A	0.0
11	1.0	9.102588812295213	2325.4119717321223	3050.5182658576387	1152.0
12	1.0	6.8499678595482045	2419.5219928698416	N/A	999.0
13	1.0	9.0643916936802	3338.0768989325143	N/A	1152.0
14	1.0	8.27257073255524	5607.542611938916	N/A	1143.0
15	1.0	7.691794189259654	N/A	N/A	1062.0
16	1.0	0.0	N/A	N/A	0.0
17	1.0	10.95750362676783	4180.277559718218	4902.46721519672	1341.0
18	1.0	13.44116980196301	614.3890182726907	N/A	1431.0
19	1.0	10.486736734713965	3373.9898525011945	N/A	1251.0
20	1.0	10.051529612611075	6644.621168462903	N/A	1242.0
21	1.0	14.46080398494407	872.9431998698523	1732.6820803446242	1593.0
22	1.0	8.105036442447748	872.3680515865921	N/A	1089.0
23	1.0	0.0	N/A	N/A	0.0
24	1.0	4.423470874699965	N/A	N/A	828.0
25	1.0	9.26615655888279	3071.1371973695796	N/A	1233.0
26	1.0	0.0	N/A	N/A	0.0
27	1.0	12.112774385248965	1732.8785554755477	N/A	1386.0
28	1.0	9.588656632586911	3359.739847814599	N/A	1161.0
29	1.0	2.124617855629717	N/A	N/A	648.0
30	1.0	13.475452857354332	1863.4423496541044	4371.741685214959	1422.0
31	1.0	0.0	N/A	N/A	0.0
32	1.0	0.0	N/A	N/A	0.0
33	1.0	8.679581598436739	4871.856424518081	5608.013163965874	1116.0
34	1.0	7.8183644950373585	948.140927604432	N/A	1134.0
35	1.0	0.0	N/A	N/A	0.0
36	1.0	14.924666098480078	1621.9457835630421	2318.4713408431053	1629.0
37	1.0	14.320529449340933	2337.592665553739	3712.252639393951	1521.0
38	1.0	8.275971412688365	2774.7618914378513	N/A	1107.0
39	1.0	12.93108753189078	1614.0482302307146	N/A	1413.0
40	1.0	11.438992302879662	4515.212298825217	5221.782145542181	1557.0
41	1.0	9.677316423352254	614.3890182726907	N/A	1134.0
42	1.0	10.674744260194835	929.2580436251384	N/A	1269.0
43	1.0	8.426655077493885	2664.9846179389942	N/A	1098.0
44	1.0	13.854242957037123	903.0791502625343	3327.137160458229	1431.0
45	1.0	0.0	N/A	N/A	0.0
46	1.0	11.286840371655003	895.8679188148186	N/A	1278.0
47	1.0	5.7780264052638435	N/A	N/A	963.0
48	1.0	0.0	N/A	N/A	0.0
49	1.0	0.0	N/A	N/A	0.0
50	1.0	0.0	N/A	N/A	0.0
51	1.0	6.620666079061576	929.2580436251384	N/A	981.0
52	1.0	0.0	N/A	N/A	0.0
53	1.0	7.888999286527084	7073.4398938457425	N/A	1116.0
54	1.0	9.455240589061152	2061.8101486898945	N/A	1161.0
55	1.0	14.247504434111686	1658.2859610921057	4430.122668135926	1503.0
56	1.0	11.970672148268417	984.4271374131531	1709.1758495120316	1314.0
57	1.0	9.072817910129594	1664.645536908651	N/A	1179.0
58	1.0	0.0	N/A	N/A	0.0
59	1.0	16.904992414202585	614.3890182726907	1324.2033388041345	1476.0
60	1.0	8.134915752203343	5882.326895432297	6567.236410555155	1179.0
61	1.0	8.706671536911685	1864.162200491313	2355.7249669802945	1026.0
62	1.0	0.0	N/A	N/A	0.0
63	1.0	10.879484631101684	842.1670203658296	1531.0662477028927	1305.0
64	1.0	7.789607398927206	N/A	N/A	1107.0
65	1.0	0.0	N/A	N/A	0.0
66	1.0	7.424853822877985	4582.516865033698	N/A	1080.0
67	1.0	10.549674625150091	1511.2353290883532	2191.1586947806027	1287.0
68	1.0	10.15882365149638	3039.042147234605	3760.758699187976	1251.0
69	1.0	10.45463205956349	1286.380527663644	N/A	1188.0
70	1.0	7.864461249597948	818.5577687842972	1538.7940662943965	1089.0
71	1.0	11.25270291168559	3094.2201420031515	N/A	1332.0
72	1.0	15.297288104222272	1266.4429857597322	2643.2637584152867	1674.0
73	1.0	8.201724779638809	614.3890182726907	N/A	1089.0
74	1.0	15.5205792400523	1359.4100393347449	1966.7054679556215	1530.0
75	1.0	0.0	N/A	N/A	0.0
76	1.0	10.549445949289385	N/A	N/A	1233.0
77	1.0	11.538807816772113	1621.9457835630421	2225.748887280669	1296.0
78	1.0	8.57109405166819	2680.22489011193	3386.0876127924694	1170.0
79	1.0	10.924932359045952	1668.8448114954156	N/A	1350.0
80	1.0	16.773268043496138	895.8679188148186	1525.6291002858447	1368.0
81	1.0	3.918238951486666	N/A	N/A	738.0
82	1.0	0.0	N/A	N/A	0.0
83	1.0	8.69510989448126	N/A	N/A	1089.0
84	1.0	9.18290455194915	3080.422326795139	N/A	1134.0
85	1.0	12.083953793294407	2036.1801126481791	N/A	1368.0
86	1.0	7.655889068599282	1286.380527663644	N/A	1116.0
87	1.0	11.515324682928117	2840.877238424079	N/A	1296.0
88	1.0	7.618907668056403	1681.6385395311258	N/A	1080.0
89	1.0	12.851006260743247	1537.6882383876252	N/A	1440.0
90	1.0	8.472385837721484	3042.6926124751712	N/A	1098.0
91	1.0	10.325643455108212	1998.9256421154912	N/A	1242.0
92	1.0	4.916774213853919	N/A	N/A	855.0
93	1.0	5.3934431711567035	N/A	N/A	981.0
94	1.0	10.33997147141837	1645.7564462075682	2780.216434612268	1179.0
95	1.0	10.053562251442877	5224.892855559978	5842.5355222010985	1269.0
96	1.0	15.49148806420349	1655.2972482428459	2289.4739588307343	1476.0
97	1.0	16.8130262646473	614.3890182726907	1228.524219828759	1530.0
98	1.0	13.505996552213764	895.8679188148186	3818.231993709204	1350.0
99	1.0	11.944372245453245	1198.1754196001805	1875.1274132773467	1386.0
100	1.0	9.066040224989777	865.7269323839099	N/A	1197.0
101	1.0	11.124192965589874	3801.1425046181766	N/A	1296.0
102	1.0	7.123785439838211	5167.871004860461	N/A	1053.0
103	1.0	0.0	N/A	N/A	0.0
104	1.0	10.862622631758176	1959.8800080349624	2544.336686537136	1269.0
105	1.0	12.063249304279097	614.3890182726907	6769.635785994705	1458.0
106	1.0	13.578002761399675	3041.9941357572197	4831.124371243486	1476.0
107	1.0	10.401801668231688	3426.896143115936	5227.443459765258	1197.0
108	1.0	10.539516163388674	3793.483141911486	4444.128331438745	1269.0
109	1.0	13.733961972753434	2014.3129137522865	5917.558269332964	1422.0
110	1.0	0.0	N/A	N/A	0.0
111	1.0	9.486715532417078	1906.668968089946	N/A	1179.0
112	1.0	9.44504241298534	6026.632013573592	N/A	1233.0
113	1.0	0.0	N/A	N/A	0.0
114	1.0	0.0	N/A	N/A	0.0
115	1.0	11.317582070871358	4109.307749916981	4615.262338618887	1224.0
116	1.0	15.28901976356314	803.1459674118762	1328.4622838692578	1602.0
117	1.0	7.42413477874592	3090.222440853148	N/A	1062.0
118	1.0	11.498200347020678	3426.87883324753	4125.811774687066	1305.0
119	1.0	10.76098301308042	2317.515748949532	6502.469677555777	1260.0
120	1.0	10.758721578391851	929.2580436251384	N/A	1278.0
121	1.0	10.801542882313113	2620.7648435808073	3491.2651196350994	1206.0
122	1.0	9.076526934919022	1958.8941965174527	N/A	1197.0
123	1.0	10.093153898654545	1364.0783321128622	N/A	1242.0
124	1.0	8.26286543386654	N/A	N/A	1143.0
125	1.0	8.015187627923611	3495.115315260993	N/A	1134.0
126	1.0	14.139933598507447	803.1459674118762	1289.398641966115	1476.0
127	1.0	0.0	N/A	N/A	0.0
128	1.0	11.237088822584411	1669.7668933091115	2356.5670590469476	1314.0
129	1.0	9.72396338304187	1748.8536564396313	N/A	1242.0
130	1.0	0.0	N/A	N/A	0.0
131	1.0	0.0	N/A	N/A	0.0
132	1.0	10.823655202866828	2610.281959630278	3196.6275440280306	1233.0
133	1.0	0.0	N/A	N/A	0.0
134	1.0	8.909332029736335	3868.5796747206136	4508.5031142012685	1152.0
135	1.0	14.73949106121812	1495.5654828468096	3067.315516433552	1548.0
136	1.0	0.0	N/A	N/A	0.0
137	1.0	13.74535945421771	2282.5244015352814	2770.719386929621	1341.0
138	1.0	11.627451346310789	4880.190168063635	N/A	1359.0
139	1.0	8.086586324675906	3837.87087375033	N/A	1116.0
140	1.0	13.920817865169777	2434.022975483046	3402.634615635933	1512.0
141	1.0	10.052524253359898	842.1670203658296	N/A	1197.0
142	1.0	13.252850623642448	1613.8289348702287	N/A	1395.0
