episode	explore_rate	e_return	t5p_first	tTiny_first	total_drug_in
0	1.0	16.397164126933408	888.548992344192	1289.6043910870874	1341.0
1	1.0	17.62423196303197	455.5579774061434	996.6107619493764	1233.0
2	1.0	17.490803373771964	455.5579774061434	906.5128131189584	1305.0
3	1.0	16.844778800580706	635.6740049931132	978.8701700771588	1233.0
4	1.0	0.0	N/A	N/A	0.0
5	1.0	17.406455227675355	637.226151616591	1533.7295270609416	1062.0
6	1.0	17.31407192771074	501.0060138078032	814.1141325246438	1341.0
7	1.0	0.0	N/A	N/A	0.0
8	1.0	17.43135734994039	436.2279799250718	782.1595590405364	1341.0
9	1.0	0.0	N/A	N/A	0.0
10	1.0	17.435793715543138	637.226151616591	1637.304627133216	1044.0
11	1.0	15.836263163889909	1549.7118707822888	1910.3279139526303	1224.0
12	1.0	16.784075203322708	637.226151616591	976.0179736313995	1404.0
13	1.0	17.230738594377403	501.0060138078032	814.1141325246438	1386.0
14	1.0	16.974460018585045	637.226151616591	1993.5714137493153	1188.0
15	1.0	17.411103384450286	585.400424009077	1463.0495345031648	1062.0
16	1.0	0.0	N/A	N/A	0.0
17	1.0	17.291835479420424	455.5579774061434	906.5128131189584	1413.0
18	1.0	16.800846644083666	635.6740049931132	1923.7161126762733	1224.0
19	1.0	17.054101005699554	780.0592978965864	1147.7716228957906	1098.0
20	1.0	16.32834660866111	635.6740049931132	953.087836356739	1512.0
21	1.0	0.0	N/A	N/A	0.0
22	1.0	17.481357349940392	436.2279799250718	787.5728757993198	1314.0
23	1.0	16.984075203322707	637.226151616591	976.0179736313995	1296.0
24	1.0	16.970173395485794	585.400424009077	922.4797657131414	1314.0
25	1.0	0.0	N/A	N/A	0.0
26	1.0	16.30947830181037	1227.2931765516387	1650.0267844973177	1170.0
27	1.0	16.61136192155892	635.6740049931132	978.8701700771588	1359.0
28	1.0	0.0	N/A	N/A	0.0
29	1.0	15.794965233513299	2053.279600017681	2566.83369599537	1314.0
30	1.0	16.709788759105113	635.6740049931132	1176.7436773331415	1305.0
31	1.0	16.798060861055955	637.226151616591	1188.0462125229396	1395.0
32	1.0	16.75027621620333	816.658454186478	1407.0575698091566	1251.0
33	1.0	17.7017071182112	572.5999496987712	2472.855323099238	1089.0
34	1.0	16.561863671069506	795.3352945558995	1632.0911087594848	1359.0
35	1.0	16.710288617288224	914.0312471192609	1405.9303483805875	1368.0
36	1.0	0.0	N/A	N/A	0.0
37	1.0	14.758457420249409	2721.8416481814797	3099.019692142434	1251.0
38	1.0	17.59899518472537	428.6500895000782	710.3502585276733	1251.0
39	1.0	16.716781554616873	816.658454186478	1334.3360518150437	1269.0
40	1.0	0.0	N/A	N/A	0.0
41	1.0	0.0	N/A	N/A	0.0
42	1.0	17.054217326646107	780.0592978965864	1137.2695668087988	1098.0
43	1.0	0.0	N/A	N/A	0.0
44	1.0	17.513246120898682	501.0060138078032	863.7575174005315	1233.0
45	1.0	0.0	N/A	N/A	0.0
46	1.0	16.244032885313104	1593.0313670194582	1918.6746052994565	1305.0
47	1.0	17.36469068327373	436.2279799250718	787.5728757993198	1377.0
48	1.0	0.0	N/A	N/A	0.0
49	1.0	16.499995332199642	888.548992344192	1986.8034668223588	1278.0
50	1.0	17.482462655274407	483.11224222614186	1573.0379917643409	1260.0
51	1.0	0.0	N/A	N/A	0.0
52	1.0	16.72902909663241	1127.1622766081698	1532.814348978324	1134.0
53	1.0	0.0	N/A	N/A	0.0
54	1.0	16.937620676542736	1125.6100131405624	1505.3428090573177	1296.0
55	1.0	17.282328518058712	428.6500895000782	710.3502585276733	1422.0
56	1.0	16.91546624727649	864.8239231220512	1270.4140563431586	1269.0
57	1.0	17.37316767212369	900.625288247035	1245.3821129558653	1278.0
58	1.0	16.319601491113758	572.5999496987712	2462.60304774273	1323.0
59	1.0	17.47214498210972	2363.4022420343676	3387.7339671773057	963.0
60	1.0	16.123806223334782	816.658454186478	4302.490301934	981.0
61	1.0	11.836148732694085	4864.362357538718	5441.815889595391	963.0
62	1.0	15.941031490381352	1578.3002044070008	2147.588799357719	1098.0
63	1.0	0.0	N/A	N/A	0.0
64	1.0	16.049934234285768	944.6710482907688	1268.02486359652	1377.0
65	1.0	0.0	N/A	N/A	0.0
66	1.0	17.25261673166946	572.5999496987712	1057.6713306294985	1359.0
67	1.0	0.0	N/A	N/A	0.0
68	1.0	15.216608324739054	1339.1121484202858	1680.973124636397	1197.0
69	1.0	16.25764506743066	910.3078281581052	1263.4075549425681	1413.0
