exp_ID	alpha_EZ	alpha_ZE	t5p	t5p_first
rational_MIC12.0	-0.03	-0.05	[567.72473099]	567.72473099
rational_MIC12.1	-0.03	-0.03333333333333334	[525.95993634]	525.95993634
rational_MIC12.2	-0.03	-0.01666666666666667	[517.90628624]	517.90628624
rational_MIC12.3	-0.03	0.0	[514.25092359]	514.25092359
rational_MIC12.4	-0.03	0.0033333333333333335	[513.7448124]	513.7448124
rational_MIC12.5	-0.03	0.006666666666666667	[513.28790942]	513.28790942
rational_MIC12.6	-0.03	0.01	[512.87332879]	512.87332879
rational_MIC12.7	-0.019999999999999997	-0.05	[648.94446011]	648.94446011
rational_MIC12.8	-0.019999999999999997	-0.03333333333333334	[589.73895514]	589.73895514
rational_MIC12.9	-0.019999999999999997	-0.01666666666666667	[579.70323736]	579.70323736
rational_MIC12.10	-0.019999999999999997	0.0	[574.9904595]	574.9904595
rational_MIC12.11	-0.019999999999999997	0.0033333333333333335	[574.32353303]	574.32353303
rational_MIC12.12	-0.019999999999999997	0.006666666666666667	[573.7177621]	573.7177621
rational_MIC12.13	-0.019999999999999997	0.01	[573.16488629]	573.16488629
rational_MIC12.14	-0.009999999999999998	-0.05	[832.80017482]	832.80017482
rational_MIC12.15	-0.009999999999999998	-0.03333333333333334	[810.95997153]	810.95997153
rational_MIC12.16	-0.009999999999999998	-0.01666666666666667	[804.36436943]	804.36436943
rational_MIC12.17	-0.009999999999999998	0.0	[800.39914908]	800.39914908
rational_MIC12.18	-0.009999999999999998	0.0033333333333333335	[799.76764315]	799.76764315
rational_MIC12.19	-0.009999999999999998	0.006666666666666667	[799.17535223]	799.17535223
rational_MIC12.20	-0.009999999999999998	0.01	[798.61808515]	798.61808515
rational_MIC12.21	0.0	-0.05	[909.72236716]	909.72236716
rational_MIC12.22	0.0	-0.03333333333333334	[909.72236716]	909.72236716
rational_MIC12.23	0.0	-0.01666666666666667	[909.72236716]	909.72236716
rational_MIC12.24	0.0	0.0	[909.72236717]	909.72236717
rational_MIC12.25	0.0	0.0033333333333333335	[909.72236717]	909.72236717
rational_MIC12.26	0.0	0.006666666666666667	[909.72236717]	909.72236717
rational_MIC12.27	0.0	0.01	[909.72236717]	909.72236717
rational_MIC12.28	0.006666666666666667	-0.05	[ 989.50719075 1040.26707982 1199.54036391]	989.50719075
rational_MIC12.29	0.006666666666666667	-0.03333333333333334	[1208.0100345]	1208.0100345
rational_MIC12.30	0.006666666666666667	-0.01666666666666667	[1210.68779882]	1210.68779882
rational_MIC12.31	0.006666666666666667	0.0	[1212.67213156]	1212.67213156
rational_MIC12.32	0.006666666666666667	0.0033333333333333335	[1213.02561481]	1213.02561481
rational_MIC12.33	0.006666666666666667	0.006666666666666667	[1213.36813206]	1213.36813206
rational_MIC12.34	0.006666666666666667	0.01	[1213.70068134]	1213.70068134
rational_MIC12.35	0.013333333333333334	-0.05	[1296.93361805 1428.93989393 1575.99681943]	1296.93361805
rational_MIC12.36	0.013333333333333334	-0.03333333333333334	[1307.8584559  1419.15581665 1583.53199802]	1307.8584559
rational_MIC12.37	0.013333333333333334	-0.01666666666666667	[1312.74514904 1414.23308707 1586.71372931]	1312.74514904
rational_MIC12.38	0.013333333333333334	0.0	[1317.34272002 1409.38213925 1589.48965228]	1317.34272002
rational_MIC12.39	0.013333333333333334	0.0033333333333333335	[1318.2769656  1408.3762447  1590.02264967]	1318.2769656
rational_MIC12.40	0.013333333333333334	0.006666666666666667	[1319.22277219 1407.35204417 1590.5507521 ]	1319.22277219
rational_MIC12.41	0.013333333333333334	0.01	[1320.18291226 1406.3067815  1591.07472995]	1320.18291226
rational_MIC12.42	0.02	-0.05	[2037.92927537 2105.22215867]	2037.92927537
rational_MIC12.43	0.02	-0.03333333333333334	[2042.86282286 2100.27357334]	2042.86282286
rational_MIC12.44	0.02	-0.01666666666666667	[2047.38084519 2095.43898814]	2047.38084519
rational_MIC12.45	0.02	0.0	[2053.77514859 2088.5497278 ]	2053.77514859
rational_MIC12.46	0.02	0.0033333333333333335	[2055.52582015 2086.67339426]	2055.52582015
rational_MIC12.47	0.02	0.006666666666666667	[2057.58214091 2084.48091756]	2057.58214091
rational_MIC12.48	0.02	0.01	[2060.13178049 2081.78378985]	2060.13178049
