exp_ID	alpha_EZ	alpha_ZE	e_return	t5p	t5p_first	tTiny	tTiny_first	total_drug_in
rational_micEZ70.0	-0.03	-0.05	13.798436820690121	[921.65308101]	921.65308101	[2304.01497212]	2304.01497212	810.0
rational_micEZ70.1	-0.03	-0.03333333333333334	13.782614392210878	[926.75423822]	926.75423822	[2065.0817781  2167.87585626 2210.71048258]	2065.0817781	810.0
rational_micEZ70.2	-0.03	-0.01666666666666667	13.944230091197916	[928.42723107]	928.42723107	[2006.84946137]	2006.84946137	720.0
rational_micEZ70.3	-0.03	0.0	13.941736849045654	[929.25804363]	929.25804363	[1976.83014739]	1976.83014739	720.0
rational_micEZ70.4	-0.03	0.0033333333333333335	13.94138389006805	[929.37644618]	929.37644618	[1971.90494277]	1971.90494277	720.0
rational_micEZ70.5	-0.03	0.006666666666666667	13.941063747599909	[929.48402646]	929.48402646	[1967.10600182]	1967.10600182	720.0
rational_micEZ70.6	-0.03	0.01	13.940772058158219	[929.58220436]	929.58220436	[1962.4192955]	1962.4192955	720.0
rational_micEZ70.7	-0.019999999999999997	-0.05	13.803018655820702	[920.17946976]	920.17946976	[2314.03388616]	2314.03388616	810.0
rational_micEZ70.8	-0.019999999999999997	-0.03333333333333334	13.794932495670185	[922.71567617]	922.71567617	[2284.94422804]	2284.94422804	810.0
rational_micEZ70.9	-0.019999999999999997	-0.01666666666666667	13.791516371042164	[923.81358747]	923.81358747	[2255.25010037]	2255.25010037	810.0
rational_micEZ70.10	-0.019999999999999997	0.0	13.789688614816555	[924.43320067]	924.43320067	[2069.52302561 2161.96751914 2217.3371544 ]	2069.52302561	810.0
rational_micEZ70.11	-0.019999999999999997	0.0033333333333333335	13.789422565624932	[924.52657883]	924.52657883	[2061.85143793 2174.21874136 2203.8001698 ]	2061.85143793	810.0
rational_micEZ70.12	-0.019999999999999997	0.006666666666666667	13.789179850107855	[924.61265283]	924.61265283	[2055.2782028]	2055.2782028	810.0
rational_micEZ70.13	-0.019999999999999997	0.01	13.788957598885752	[924.69226677]	924.69226677	[2049.47002238]	2049.47002238	810.0
