exp_ID	alpha_EZ	alpha_ZE	t5p	t5p_first
rational_micEZ70.0	-0.03	-0.05	[921.65308101]	921.65308101
rational_micEZ70.1	-0.03	-0.03333333333333334	[926.75423822]	926.75423822
rational_micEZ70.2	-0.03	-0.01666666666666667	[928.42723107]	928.42723107
rational_micEZ70.3	-0.03	0.0	[929.25804363]	929.25804363
rational_micEZ70.4	-0.03	0.0033333333333333335	[929.37644618]	929.37644618
rational_micEZ70.5	-0.03	0.006666666666666667	[929.48402646]	929.48402646
rational_micEZ70.6	-0.03	0.01	[929.58220436]	929.58220436
rational_micEZ70.7	-0.019999999999999997	-0.05	[920.17946976]	920.17946976
rational_micEZ70.8	-0.019999999999999997	-0.03333333333333334	[922.71567617]	922.71567617
rational_micEZ70.9	-0.019999999999999997	-0.01666666666666667	[923.81358747]	923.81358747
rational_micEZ70.10	-0.019999999999999997	0.0	[924.43320067]	924.43320067
rational_micEZ70.11	-0.019999999999999997	0.0033333333333333335	[924.52657883]	924.52657883
rational_micEZ70.12	-0.019999999999999997	0.006666666666666667	[924.61265283]	924.61265283
rational_micEZ70.13	-0.019999999999999997	0.01	[924.69226677]	924.69226677
rational_micEZ70.14	-0.009999999999999998	-0.05	[919.60242636]	919.60242636
rational_micEZ70.15	-0.009999999999999998	-0.03333333333333334	[920.59918182]	920.59918182
rational_micEZ70.16	-0.009999999999999998	-0.01666666666666667	[921.09784356]	921.09784356
rational_micEZ70.17	-0.009999999999999998	0.0	[921.40961891]	921.40961891
rational_micEZ70.18	-0.009999999999999998	0.0033333333333333335	[921.45931228]	921.45931228
rational_micEZ70.19	-0.009999999999999998	0.006666666666666667	[921.50585441]	921.50585441
rational_micEZ70.20	-0.009999999999999998	0.01	[921.54956245]	921.54956245
rational_micEZ70.21	0.0	-0.05	[919.29455394]	919.29455394
rational_micEZ70.22	0.0	-0.03333333333333334	[919.29455394]	919.29455394
rational_micEZ70.23	0.0	-0.01666666666666667	[919.29455394]	919.29455394
rational_micEZ70.24	0.0	0.0	[919.29455394]	919.29455394
rational_micEZ70.25	0.0	0.0033333333333333335	[919.29455394]	919.29455394
rational_micEZ70.26	0.0	0.006666666666666667	[919.29455394]	919.29455394
rational_micEZ70.27	0.0	0.01	[919.29455394]	919.29455394
rational_micEZ70.28	0.006666666666666667	-0.05	[919.15835187]	919.15835187
rational_micEZ70.29	0.006666666666666667	-0.03333333333333334	[918.67091526]	918.67091526
rational_micEZ70.30	0.006666666666666667	-0.01666666666666667	[918.3897622]	918.3897622
rational_micEZ70.31	0.006666666666666667	0.0	[918.18696793]	918.18696793
rational_micEZ70.32	0.006666666666666667	0.0033333333333333335	[918.15194861]	918.15194861
rational_micEZ70.33	0.006666666666666667	0.006666666666666667	[918.11847452]	918.11847452
rational_micEZ70.34	0.006666666666666667	0.01	[918.08648209]	918.08648209
rational_micEZ70.35	0.013333333333333334	-0.05	[919.05445705]	919.05445705
rational_micEZ70.36	0.013333333333333334	-0.03333333333333334	[918.173961]	918.173961
rational_micEZ70.37	0.013333333333333334	-0.01666666666666667	[917.6454717]	917.6454717
rational_micEZ70.38	0.013333333333333334	0.0	[917.24621341]	917.24621341
rational_micEZ70.39	0.013333333333333334	0.0033333333333333335	[917.17582795]	917.17582795
rational_micEZ70.40	0.013333333333333334	0.006666666666666667	[917.10837537]	917.10837537
rational_micEZ70.41	0.013333333333333334	0.01	[917.04388496]	917.04388496
rational_micEZ70.42	0.02	-0.05	[918.97259313]	918.97259313
rational_micEZ70.43	0.02	-0.03333333333333334	[917.76858292]	917.76858292
rational_micEZ70.44	0.02	-0.01666666666666667	[917.0211002]	917.0211002
rational_micEZ70.45	0.02	0.0	[916.43345316]	916.43345316
rational_micEZ70.46	0.02	0.0033333333333333335	[916.32850239]	916.32850239
rational_micEZ70.47	0.02	0.006666666666666667	[916.22805108]	916.22805108
rational_micEZ70.48	0.02	0.01	[916.13241007]	916.13241007
