exp_ID	alpha_EZ	alpha_ZE	t5p	t5p_first
rational_micZ140.0	-0.03	-0.05	[573.41031985]	573.41031985
rational_micZ140.1	-0.03	-0.03333333333333334	[530.10369351]	530.10369351
rational_micZ140.2	-0.03	-0.01666666666666667	[522.00343355]	522.00343355
rational_micZ140.3	-0.03	0.0	[518.33171441]	518.33171441
rational_micZ140.4	-0.03	0.0033333333333333335	[517.82358833]	517.82358833
rational_micZ140.5	-0.03	0.006666666666666667	[517.36491973]	517.36491973
rational_micZ140.6	-0.03	0.01	[516.94878114]	516.94878114
rational_micZ140.7	-0.019999999999999997	-0.05	[670.09986536]	670.09986536
rational_micZ140.8	-0.019999999999999997	-0.03333333333333334	[597.31328742]	597.31328742
rational_micZ140.9	-0.019999999999999997	-0.01666666666666667	[586.43240208]	586.43240208
rational_micZ140.10	-0.019999999999999997	0.0	[581.37472755]	581.37472755
rational_micZ140.11	-0.019999999999999997	0.0033333333333333335	[580.6613179]	580.6613179
rational_micZ140.12	-0.019999999999999997	0.006666666666666667	[580.01379931]	580.01379931
rational_micZ140.13	-0.019999999999999997	0.01	[579.42320795]	579.42320795
rational_micZ140.14	-0.009999999999999998	-0.05	[842.52009971]	842.52009971
rational_micZ140.15	-0.009999999999999998	-0.03333333333333334	[821.91213852]	821.91213852
rational_micZ140.16	-0.009999999999999998	-0.01666666666666667	[815.86757142]	815.86757142
rational_micZ140.17	-0.009999999999999998	0.0	[812.28651673]	812.28651673
rational_micZ140.18	-0.009999999999999998	0.0033333333333333335	[811.72037875]	811.72037875
rational_micZ140.19	-0.009999999999999998	0.006666666666666667	[811.19051584]	811.19051584
rational_micZ140.20	-0.009999999999999998	0.01	[810.69299912]	810.69299912
rational_micZ140.21	0.0	-0.05	[919.29455393]	919.29455393
rational_micZ140.22	0.0	-0.03333333333333334	[919.29455393]	919.29455393
rational_micZ140.23	0.0	-0.01666666666666667	[919.29455393]	919.29455393
rational_micZ140.24	0.0	0.0	[919.29455394]	919.29455394
rational_micZ140.25	0.0	0.0033333333333333335	[919.29455394]	919.29455394
rational_micZ140.26	0.0	0.006666666666666667	[919.29455394]	919.29455394
rational_micZ140.27	0.0	0.01	[919.29455394]	919.29455394
rational_micZ140.28	0.006666666666666667	-0.05	[1216.18465093]	1216.18465093
rational_micZ140.29	0.006666666666666667	-0.03333333333333334	[1223.57308426]	1223.57308426
rational_micZ140.30	0.006666666666666667	-0.01666666666666667	[1225.9589038]	1225.9589038
rational_micZ140.31	0.006666666666666667	0.0	[1227.73769645]	1227.73769645
rational_micZ140.32	0.006666666666666667	0.0033333333333333335	[1228.05521324]	1228.05521324
rational_micZ140.33	0.006666666666666667	0.006666666666666667	[1228.36303611]	1228.36303611
rational_micZ140.34	0.006666666666666667	0.01	[1228.66204007]	1228.66204007
rational_micZ140.35	0.013333333333333334	-0.05	[1317.40730992 1406.97493495 1596.28621766]	1317.40730992
rational_micZ140.36	0.013333333333333334	-0.03333333333333334	[1333.99718484 1391.44984763 1602.41052035]	1333.99718484
rational_micZ140.37	0.013333333333333334	-0.01666666666666667	[1344.56869508 1380.76979533 1605.10074834]	1344.56869508
rational_micZ140.38	0.013333333333333334	0.0	[1607.47496821]	1607.47496821
rational_micZ140.39	0.013333333333333334	0.0033333333333333335	[1607.93298851]	1607.93298851
rational_micZ140.40	0.013333333333333334	0.006666666666666667	[1608.38741153]	1608.38741153
rational_micZ140.41	0.013333333333333334	0.01	[1608.8388616]	1608.8388616
rational_micZ140.42	0.02	-0.05	[2399.41246902 2460.23288433]	2399.41246902
rational_micZ140.43	0.02	-0.03333333333333334	[2402.49486709 2456.94896697]	2402.49486709
rational_micZ140.44	0.02	-0.01666666666666667	[2405.53976677 2453.51200685]	2405.53976677
rational_micZ140.45	0.02	0.0	[2409.66123752 2448.84024643]	2409.66123752
rational_micZ140.46	0.02	0.0033333333333333335	[2410.70720008 2447.65986791]	2410.70720008
rational_micZ140.47	0.02	0.006666666666666667	[2411.86592783 2446.35704285]	2411.86592783
rational_micZ140.48	0.02	0.01	[2413.16816595 2444.90021153]	2413.16816595
