exp_ID	alpha_EZ	alpha_ZE	e_return	t5p	t5p_first	tTiny	tTiny_first	total_drug_in
rational_micZ50.0	-0.03	-0.05	13.725959330395247	[937.91393373]	937.91393373	[2318.34319019]	2318.34319019	810.0
rational_micZ50.1	-0.03	-0.03333333333333334	13.403543749931988	[1197.98422213]	1197.98422213	[2310.82585602]	2310.82585602	810.0
rational_micZ50.2	-0.03	-0.01666666666666667	13.193029333517078	[1235.16975812]	1235.16975812	[2301.91174748]	2301.91174748	810.0
rational_micZ50.3	-0.03	0.0	13.045196813885907	[1256.57607695]	1256.57607695	[2292.22664525]	2292.22664525	810.0
rational_micZ50.4	-0.03	0.0033333333333333335	13.020797071098198	[1259.87160324]	1259.87160324	[2290.22497963]	2290.22497963	810.0
rational_micZ50.5	-0.03	0.006666666666666667	12.997785929778384	[1262.96652779]	1262.96652779	[2288.20474909]	2288.20474909	810.0
rational_micZ50.6	-0.03	0.01	12.976051021571521	[1265.9238855]	1265.9238855	[2286.1666557]	2286.1666557	810.0
rational_micZ50.7	-0.019999999999999997	-0.05	13.777456743512051	[925.73028746]	925.73028746	[2319.09532804]	2319.09532804	810.0
rational_micZ50.8	-0.019999999999999997	-0.03333333333333334	13.646764041299798	[960.15727968]	960.15727968	[2316.29625893]	2316.29625893	810.0
rational_micZ50.9	-0.019999999999999997	-0.01666666666666667	13.54646876534456	[1006.49099419 1050.50117764 1165.32371059]	1006.49099419	[2312.37305836]	2312.37305836	810.0
rational_micZ50.10	-0.019999999999999997	0.0	13.46960455316846	[1187.69295666]	1187.69295666	[2307.42355196]	2307.42355196	810.0
rational_micZ50.11	-0.019999999999999997	0.0033333333333333335	13.45651221352477	[1191.01839538]	1191.01839538	[2306.32638808]	2306.32638808	810.0
rational_micZ50.12	-0.019999999999999997	0.006666666666666667	13.444081902784383	[1194.0863082]	1194.0863082	[2305.19726682]	2305.19726682	810.0
rational_micZ50.13	-0.019999999999999997	0.01	13.432275635754138	[1196.92793571]	1196.92793571	[2304.03784648]	2304.03784648	810.0
rational_micZ50.14	-0.009999999999999998	-0.05	13.796141572987034	[921.47085046]	921.47085046	[2319.35869165]	2319.35869165	810.0
rational_micZ50.15	-0.009999999999999998	-0.03333333333333334	13.7491503691172	[932.72717219]	932.72717219	[2318.37797058]	2318.37797058	810.0
rational_micZ50.16	-0.009999999999999998	-0.01666666666666667	13.710287057143042	[943.16146678]	943.16146678	[2316.83557293]	2316.83557293	810.0
rational_micZ50.17	-0.009999999999999998	0.0	13.679143369392305	[952.58611003]	952.58611003	[2314.6193485]	2314.6193485	810.0
rational_micZ50.18	-0.009999999999999998	0.0033333333333333335	13.673764499624022	[954.33920113]	954.33920113	[2314.09329089]	2314.09329089	810.0
rational_micZ50.19	-0.009999999999999998	0.006666666666666667	13.668647627918489	[956.04781745]	956.04781745	[2313.54060771]	2313.54060771	810.0
rational_micZ50.20	-0.009999999999999998	0.01	13.663782658428875	[957.71228806]	957.71228806	[2312.9620725]	2312.9620725	810.0
rational_micZ50.21	0.0	-0.05	13.805798423176238	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547	810.0
rational_micZ50.22	0.0	-0.03333333333333334	13.805798423179832	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469	810.0
rational_micZ50.23	0.0	-0.01666666666666667	13.80579842318469	[919.29455393]	919.29455393	[2319.4929547]	2319.4929547	810.0
rational_micZ50.24	0.0	0.0	13.805798423180297	[919.29455393]	919.29455393	[2319.4929547]	2319.4929547	810.0
rational_micZ50.25	0.0	0.0033333333333333335	13.80579842318045	[919.29455393]	919.29455393	[2319.4929547]	2319.4929547	810.0
rational_micZ50.26	0.0	0.006666666666666667	13.805798423185694	[919.29455393]	919.29455393	[2319.4929547]	2319.4929547	810.0
rational_micZ50.27	0.0	0.01	13.805798423185811	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469	810.0
rational_micZ50.28	0.006666666666666667	-0.05	13.81000380851592	[918.35153433]	918.35153433	[2319.55103412]	2319.55103412	810.0
rational_micZ50.29	0.006666666666666667	-0.03333333333333334	13.831353961436896	[913.43093448]	913.43093448	[2319.99005322]	2319.99005322	810.0
rational_micZ50.30	0.006666666666666667	-0.01666666666666667	13.850188271155062	[908.86317]	908.86317	[2320.7742679]	2320.7742679	810.0
rational_micZ50.31	0.006666666666666667	0.0	13.86591307099448	[904.84410362]	904.84410362	[2322.11271736]	2322.11271736	810.0
