exp_ID	alpha_EZ	alpha_ZE	t5p	t5p_first
rational_sameMIC.0	-0.03	-0.05	[908.82233247]	908.82233247
rational_sameMIC.1	-0.03	-0.03333333333333334	[906.75026259]	906.75026259
rational_sameMIC.2	-0.03	-0.01666666666666667	[906.03705795]	906.03705795
rational_sameMIC.3	-0.03	0.0	[905.67795986]	905.67795986
rational_sameMIC.4	-0.03	0.0033333333333333335	[905.62655575]	905.62655575
rational_sameMIC.5	-0.03	0.006666666666666667	[905.57980477]	905.57980477
rational_sameMIC.6	-0.03	0.01	[905.53710314]	905.53710314
rational_sameMIC.7	-0.019999999999999997	-0.05	[909.37738232]	909.37738232
rational_sameMIC.8	-0.019999999999999997	-0.03333333333333334	[908.21929084]	908.21929084
rational_sameMIC.9	-0.019999999999999997	-0.01666666666666667	[907.64428268]	907.64428268
rational_sameMIC.10	-0.019999999999999997	0.0	[907.3074023]	907.3074023
rational_sameMIC.11	-0.019999999999999997	0.0033333333333333335	[907.25624779]	907.25624779
rational_sameMIC.12	-0.019999999999999997	0.006666666666666667	[907.20905103]	907.20905103
rational_sameMIC.13	-0.019999999999999997	0.01	[907.16537201]	907.16537201
rational_sameMIC.14	-0.009999999999999998	-0.05	[909.60132379]	909.60132379
rational_sameMIC.15	-0.009999999999999998	-0.03333333333333334	[909.11844529]	909.11844529
rational_sameMIC.16	-0.009999999999999998	-0.01666666666666667	[908.82953587]	908.82953587
rational_sameMIC.17	-0.009999999999999998	0.0	[908.64386096]	908.64386096
rational_sameMIC.18	-0.009999999999999998	0.0033333333333333335	[908.61447962]	908.61447962
rational_sameMIC.19	-0.009999999999999998	0.006666666666666667	[908.5870598]	908.5870598
rational_sameMIC.20	-0.009999999999999998	0.01	[908.56140221]	908.56140221
rational_sameMIC.21	0.0	-0.05	[909.72236717]	909.72236717
rational_sameMIC.22	0.0	-0.03333333333333334	[909.72236717]	909.72236717
rational_sameMIC.23	0.0	-0.01666666666666667	[909.72236717]	909.72236717
rational_sameMIC.24	0.0	0.0	[909.72236717]	909.72236717
rational_sameMIC.25	0.0	0.0033333333333333335	[909.72236717]	909.72236717
rational_sameMIC.26	0.0	0.006666666666666667	[909.72236717]	909.72236717
rational_sameMIC.27	0.0	0.01	[909.72236717]	909.72236717
rational_sameMIC.28	0.006666666666666667	-0.05	[909.77626794]	909.77626794
rational_sameMIC.29	0.006666666666666667	-0.03333333333333334	[910.02516534]	910.02516534
rational_sameMIC.30	0.006666666666666667	-0.01666666666666667	[910.20119382]	910.20119382
rational_sameMIC.31	0.006666666666666667	0.0	[910.32719109]	910.32719109
rational_sameMIC.32	0.006666666666666667	0.0033333333333333335	[910.34868526]	910.34868526
rational_sameMIC.33	0.006666666666666667	0.006666666666666667	[910.36932824]	910.36932824
rational_sameMIC.34	0.006666666666666667	0.01	[910.38924835]	910.38924835
rational_sameMIC.35	0.013333333333333334	-0.05	[909.81752935]	909.81752935
rational_sameMIC.36	0.013333333333333334	-0.03333333333333334	[910.27316814]	910.27316814
rational_sameMIC.37	0.013333333333333334	-0.01666666666666667	[910.6095583]	910.6095583
rational_sameMIC.38	0.013333333333333334	0.0	[910.85989905]	910.85989905
rational_sameMIC.39	0.013333333333333334	0.0033333333333333335	[910.90429427]	910.90429427
rational_sameMIC.40	0.013333333333333334	0.006666666666666667	[910.94764643]	910.94764643
rational_sameMIC.41	0.013333333333333334	0.01	[910.99023854]	910.99023854
rational_sameMIC.42	0.02	-0.05	[909.85013062]	909.85013062
rational_sameMIC.43	0.02	-0.03333333333333334	[910.47994623]	910.47994623
rational_sameMIC.44	0.02	-0.01666666666666667	[910.96156834]	910.96156834
rational_sameMIC.45	0.02	0.0	[911.33419953]	911.33419953
rational_sameMIC.46	0.02	0.0033333333333333335	[911.40318419]	911.40318419
rational_sameMIC.47	0.02	0.006666666666666667	[911.47178967]	911.47178967
rational_sameMIC.48	0.02	0.01	[911.54049065]	911.54049065
