exp_ID	alpha_EZ	alpha_ZE	t5p	t5p_first	tTiny	tTiny_first
rational_micEZ70.0	-0.03	-0.05	[882.00397976]	882.00397976	[2278.70338688]	2278.70338688
rational_micEZ70.1	-0.03	-0.03333333333333334	[851.99762982]	851.99762982	[2089.93166795 2141.44591951 2233.78375619]	2089.93166795
rational_micEZ70.2	-0.03	-0.01666666666666667	[642.67668746 671.23469941 814.5129623 ]	642.67668746	[2029.23347854]	2029.23347854
rational_micEZ70.3	-0.03	0.0	[581.03237435]	581.03237435	[1997.53275234]	1997.53275234
rational_micEZ70.4	-0.03	0.0033333333333333335	[574.64718721]	574.64718721	[1992.44536252]	1992.44536252
rational_micEZ70.5	-0.03	0.006666666666666667	[568.89435841]	568.89435841	[1987.65665921]	1987.65665921
rational_micEZ70.6	-0.03	0.01	[563.65180023]	563.65180023	[1983.13442242]	1983.13442242
rational_micEZ70.7	-0.019999999999999997	-0.05	[900.94991974]	900.94991974	[2301.16620813]	2301.16620813
rational_micEZ70.8	-0.019999999999999997	-0.03333333333333334	[885.89810346]	885.89810346	[2282.86709032]	2282.86709032
rational_micEZ70.9	-0.019999999999999997	-0.01666666666666667	[867.78590284]	867.78590284	[2258.61025306]	2258.61025306
rational_micEZ70.10	-0.019999999999999997	0.0	[848.71197862]	848.71197862	[2078.52315605 2152.85798286 2226.48327522]	2078.52315605
rational_micEZ70.11	-0.019999999999999997	0.0033333333333333335	[844.85094081]	844.85094081	[2069.59591941 2161.88836283 2217.42536257]	2069.59591941
rational_micEZ70.12	-0.019999999999999997	0.006666666666666667	[840.97317826]	840.97317826	[2062.23040908 2173.31505939 2204.7695951 ]	2062.23040908
rational_micEZ70.13	-0.019999999999999997	0.01	[837.07437963]	837.07437963	[2055.85104143]	2055.85104143
rational_micEZ70.14	-0.009999999999999998	-0.05	[912.10672191]	912.10672191	[2312.81884914]	2312.81884914
rational_micEZ70.15	-0.009999999999999998	-0.03333333333333334	[905.59980604]	905.59980604	[2305.93020663]	2305.93020663
rational_micEZ70.16	-0.009999999999999998	-0.01666666666666667	[897.90340776]	897.90340776	[2297.02487729]	2297.02487729
rational_micEZ70.17	-0.009999999999999998	0.0	[889.84442293]	889.84442293	[2287.26104299]	2287.26104299
