exp_ID	alpha_EZ	alpha_ZE
rational_micZ100.0	-0.03	-0.05
rational_micZ100.1	-0.03	-0.03333333333333334
rational_micZ100.2	-0.03	-0.01666666666666667
rational_micZ100.3	-0.03	0.0
rational_micZ100.4	-0.03	0.0033333333333333335
rational_micZ100.5	-0.03	0.006666666666666667
rational_micZ100.6	-0.03	0.01
rational_micZ100.7	-0.019999999999999997	-0.05
rational_micZ100.8	-0.019999999999999997	-0.03333333333333334
rational_micZ100.9	-0.019999999999999997	-0.01666666666666667
rational_micZ100.10	-0.019999999999999997	0.0
rational_micZ100.11	-0.019999999999999997	0.0033333333333333335
rational_micZ100.12	-0.019999999999999997	0.006666666666666667
rational_micZ100.13	-0.019999999999999997	0.01
rational_micZ100.14	-0.009999999999999998	-0.05
rational_micZ100.15	-0.009999999999999998	-0.03333333333333334
rational_micZ100.16	-0.009999999999999998	-0.01666666666666667
rational_micZ100.17	-0.009999999999999998	0.0
rational_micZ100.18	-0.009999999999999998	0.0033333333333333335
rational_micZ100.19	-0.009999999999999998	0.006666666666666667
rational_micZ100.20	-0.009999999999999998	0.01
rational_micZ100.21	0.0	-0.05
rational_micZ100.22	0.0	-0.03333333333333334
rational_micZ100.23	0.0	-0.01666666666666667
rational_micZ100.24	0.0	0.0
rational_micZ100.25	0.0	0.0033333333333333335
rational_micZ100.26	0.0	0.006666666666666667
rational_micZ100.27	0.0	0.01
rational_micZ100.28	0.006666666666666667	-0.05
rational_micZ100.29	0.006666666666666667	-0.03333333333333334
rational_micZ100.30	0.006666666666666667	-0.01666666666666667
rational_micZ100.31	0.006666666666666667	0.0
rational_micZ100.32	0.006666666666666667	0.0033333333333333335
rational_micZ100.33	0.006666666666666667	0.006666666666666667
rational_micZ100.34	0.006666666666666667	0.01
rational_micZ100.35	0.013333333333333334	-0.05
rational_micZ100.36	0.013333333333333334	-0.03333333333333334
rational_micZ100.37	0.013333333333333334	-0.01666666666666667
rational_micZ100.38	0.013333333333333334	0.0
rational_micZ100.39	0.013333333333333334	0.0033333333333333335
rational_micZ100.40	0.013333333333333334	0.006666666666666667
rational_micZ100.41	0.013333333333333334	0.01
rational_micZ100.42	0.02	-0.05
rational_micZ100.43	0.02	-0.03333333333333334
rational_micZ100.44	0.02	-0.01666666666666667
rational_micZ100.45	0.02	0.0
rational_micZ100.46	0.02	0.0033333333333333335
rational_micZ100.47	0.02	0.006666666666666667
rational_micZ100.48	0.02	0.01
