exp_ID	alpha_EZ	alpha_ZE	t5p	t5p_first	tTiny	tTiny_first
rational_micZ20.0	-0.03	-0.05	[918.28180256]	918.28180256	[2318.71666503]	2318.71666503
rational_micZ20.1	-0.03	-0.03333333333333334	[917.93364436]	917.93364436	[2318.44775597]	2318.44775597
rational_micZ20.2	-0.03	-0.01666666666666667	[917.42813142]	917.42813142	[2318.05544034]	2318.05544034
rational_micZ20.3	-0.03	0.0	[916.70218025]	916.70218025	[2317.48815516]	2317.48815516
rational_micZ20.4	-0.03	0.0033333333333333335	[916.52324184]	916.52324184	[2317.34757148]	2317.34757148
rational_micZ20.5	-0.03	0.006666666666666667	[916.33296631]	916.33296631	[2317.19780788]	2317.19780788
rational_micZ20.6	-0.03	0.01	[916.12991311]	916.12991311	[2317.03763314]	2317.03763314
rational_micZ20.7	-0.019999999999999997	-0.05	[918.69932945]	918.69932945	[2319.03777348]	2319.03777348
rational_micZ20.8	-0.019999999999999997	-0.03333333333333334	[918.49389439]	918.49389439	[2318.87996667]	2318.87996667
rational_micZ20.9	-0.019999999999999997	-0.01666666666666667	[918.18726962]	918.18726962	[2318.64375366]	2318.64375366
rational_micZ20.10	-0.019999999999999997	0.0	[917.72870547]	917.72870547	[2318.2889755]	2318.2889755
rational_micZ20.11	-0.019999999999999997	0.0033333333333333335	[917.61236]	917.61236	[2318.19864183]	2318.19864183
rational_micZ20.12	-0.019999999999999997	0.006666666666666667	[917.48726585]	917.48726585	[2318.10140758]	2318.10140758
rational_micZ20.13	-0.019999999999999997	0.01	[917.35219983]	917.35219983	[2317.99626752]	2317.99626752
rational_micZ20.14	-0.009999999999999998	-0.05	[919.03048429]	919.03048429	[2319.29138961]	2319.29138961
rational_micZ20.15	-0.009999999999999998	-0.03333333333333334	[918.93907609]	918.93907609	[2319.22147833]	2319.22147833
rational_micZ20.16	-0.009999999999999998	-0.01666666666666667	[918.79880425]	918.79880425	[2319.11405553]	2319.11405553
rational_micZ20.17	-0.009999999999999998	0.0	[918.57990663]	918.57990663	[2318.94608195]	2318.94608195
rational_micZ20.18	-0.009999999999999998	0.0033333333333333335	[918.52262338]	918.52262338	[2318.9020417]	2318.9020417
rational_micZ20.19	-0.009999999999999998	0.006666666666666667	[918.46027094]	918.46027094	[2318.85408356]	2318.85408356
rational_micZ20.20	-0.009999999999999998	0.01	[918.39206297]	918.39206297	[2318.80158221]	2318.80158221
rational_micZ20.21	0.0	-0.05	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547
rational_micZ20.22	0.0	-0.03333333333333334	[919.29455394]	919.29455394	[2319.4929547]	2319.4929547
rational_micZ20.23	0.0	-0.01666666666666667	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469
rational_micZ20.24	0.0	0.0	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469
rational_micZ20.25	0.0	0.0033333333333333335	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469
rational_micZ20.26	0.0	0.006666666666666667	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469
rational_micZ20.27	0.0	0.01	[919.29455393]	919.29455393	[2319.49295469]	2319.49295469
rational_micZ20.28	0.006666666666666667	-0.05	[919.44075696]	919.44075696	[2319.6042954]	2319.6042954
rational_micZ20.29	0.006666666666666667	-0.03333333333333334	[919.49153658]	919.49153658	[2319.64292384]	2319.64292384
rational_micZ20.30	0.006666666666666667	-0.01666666666666667	[919.57313217]	919.57313217	[2319.70494815]	2319.70494815
rational_micZ20.31	0.006666666666666667	0.0	[919.71020696]	919.71020696	[2319.80901682]	2319.80901682
rational_micZ20.32	0.006666666666666667	0.0033333333333333335	[919.74809498]	919.74809498	[2319.83776378]	2319.83776378
rational_micZ20.33	0.006666666666666667	0.006666666666666667	[919.79028283]	919.79028283	[2319.86975122]	2319.86975122
rational_micZ20.34	0.006666666666666667	0.01	[919.83756962]	919.83756962	[2319.90558764]	2319.90558764
rational_micZ20.35	0.013333333333333334	-0.05	[919.56723672]	919.56723672	[2319.70046867]	2319.70046867
rational_micZ20.36	0.013333333333333334	-0.03333333333333334	[919.66204174]	919.66204174	[2319.77246751]	2319.77246751
rational_micZ20.37	0.013333333333333334	-0.01666666666666667	[919.81717145]	919.81717145	[2319.89011429]	2319.89011429
rational_micZ20.38	0.013333333333333334	0.0	[920.0857103]	920.0857103	[2320.09328421]	2320.09328421
rational_micZ20.39	0.013333333333333334	0.0033333333333333335	[920.16162794]	920.16162794	[2320.15063104]	2320.15063104
rational_micZ20.40	0.013333333333333334	0.006666666666666667	[920.24698466]	920.24698466	[2320.21503456]	2320.21503456
rational_micZ20.41	0.013333333333333334	0.01	[920.3436672]	920.3436672	[2320.287911]	2320.287911
rational_micZ20.42	0.02	-0.05	[919.67690711]	919.67690711	[2319.78374994]	2319.78374994
rational_micZ20.43	0.02	-0.03333333333333334	[919.8099612]	919.8099612	[2319.88465074]	2319.88465074
rational_micZ20.44	0.02	-0.01666666666666667	[920.03161797]	920.03161797	[2320.05240854]	2320.05240854
rational_micZ20.45	0.02	0.0	[920.42701588]	920.42701588	[2320.35062477]	2320.35062477
rational_micZ20.46	0.02	0.0033333333333333335	[920.54136638]	920.54136638	[2320.43665395]	2320.43665395
rational_micZ20.47	0.02	0.006666666666666667	[920.67122234]	920.67122234	[2320.53419182]	2320.53419182
rational_micZ20.48	0.02	0.01	[920.81991581]	920.81991581	[2320.64570726]	2320.64570726
